"","204562_at","227846_at","211596_s_at","225912_at","224734_at","220359_s_at","210517_s_at","233180_at","1568611_at","243915_at","207996_s_at","203435_s_at","206255_at","206591_at","209574_s_at","241679_at","227530_at","1556599_s_at","227529_s_at","212382_at","228284_at","211919_s_at","202733_at","1566363_at","209201_x_at","239328_at","219144_at","220588_at","1552652_at","211987_at","204114_at","44790_s_at","219471_at","202908_at","1556383_at","221234_s_at","203434_s_at","220068_at","236099_at","226632_at","231935_at","233359_at","226394_at","242735_x_at","206413_s_at","223608_at","210450_at","1559716_at","1556598_at","1569482_at","target"
"GSM483297",33.33795,49.1787,148.14186,325.74338,1878.606,9.989146,123.78879,13.027508,17.454071,12.889803,249.60944,68.18036,13.67844,24.003056,152.23726,20.97947,79.059006,8.891606,8.938171,364.0585,138.89598,542.66315,25.743767,1223.7106,491.30466,129.86162,35.530304,33.383633,139.6989,2350.5093,26.518915,57.2737,81.61564,30.239382,28.74386,47.9299,9.521496,44.421806,41.028336,17.133863,31.690887,62.42081,162.6232,158.43657,35.471462,105.341705,12.139418,47.962708,6.4538693,11.919286,"MDS"
"GSM483298",56.328274,35.75242,112.32575,333.89346,1898.4713,8.995671,121.33408,11.471075,20.000177,12.585142,183.79893,61.852295,14.530245,32.69804,152.402,20.430538,79.98715,9.700139,11.00478,426.61804,66.22677,777.4084,17.702284,2141.8945,695.8914,207.6424,47.740353,29.037357,126.979675,2332.7935,21.082882,100.196945,137.17062,49.949997,39.865704,25.922447,12.539886,55.76901,49.69873,20.888214,26.738098,39.3166,172.08562,120.66497,33.43297,129.72601,16.226759,38.10079,6.7813487,12.385004,"MDS"
"GSM483299",39.14845,48.855568,101.29652,228.58969,1931.8616,11.0504675,54.922665,18.81144,17.029257,18.574419,199.6329,34.08233,21.631407,16.659126,142.95694,23.223528,54.796215,9.71378,7.6881595,462.13678,152.68771,615.1179,16.432049,224.37177,560.06055,89.41957,33.31873,30.665014,126.91557,2121.6235,17.124912,54.905987,63.142273,24.560658,24.430067,58.39227,7.2478967,35.63668,24.550049,12.494343,13.932562,37.855877,203.701,148.18999,35.82849,247.96924,10.331701,40.68394,7.299512,11.723401,"MDS"
"GSM483300",31.6755,35.512367,15.650353,908.80145,2359.5852,9.282729,22.220596,12.337802,22.401833,20.33656,57.488514,44.420208,17.013624,13.069341,367.047,20.718472,36.103153,7.855294,7.4337897,313.1219,27.280987,360.1063,21.025612,33.847393,344.25052,119.294846,45.477486,30.645134,91.97772,2097.759,28.74852,13.282878,27.464403,30.009315,46.5784,15.56714,8.235023,23.63795,36.719597,14.832482,19.70873,85.76926,431.3932,193.02087,36.598125,23.277954,9.895308,74.740036,8.480222,20.87919,"MDS"
"GSM483301",36.569134,43.569187,94.70782,997.0999,1938.2744,13.098567,146.69487,10.229487,21.051378,46.290714,222.14394,84.21399,18.391657,64.33157,198.05687,26.069475,127.419655,21.131924,19.879505,716.4189,77.84797,751.11884,18.821613,3599.7327,752.96063,199.08003,37.038452,24.856174,122.79161,3205.0288,19.784843,41.537685,53.640972,29.903563,31.060797,96.85384,36.98512,48.95422,43.289135,22.03367,61.987198,84.810646,206.67247,208.8201,33.086708,78.1401,10.324261,45.377666,10.805226,19.965626,"MDS"
"GSM483302",30.700384,35.55719,102.282875,919.20593,1976.347,10.963633,29.130066,10.231697,14.411132,35.885307,133.39401,41.21277,12.962676,17.562233,166.49376,18.412533,35.730537,8.793184,6.893168,550.87646,67.3673,956.18854,11.057236,1805.296,934.42957,216.10571,34.855846,31.6755,127.442444,2661.6577,11.489479,22.102442,36.267384,27.992773,26.641947,55.296867,10.230224,22.404253,31.532043,12.819876,18.12299,75.51129,237.88933,214.03722,36.228226,205.7215,9.850498,42.36353,7.336683,19.759558,"MDS"
"GSM483303",60.529785,61.45916,105.843796,2078.5796,1699.3412,27.573454,325.37393,12.561134,29.416376,23.651575,239.22136,321.21063,35.674587,372.46857,341.80386,64.95447,157.77592,67.4742,21.57653,778.6137,85.50395,865.03973,33.042618,8306.167,791.39453,772.49445,52.928814,31.518415,175.09956,3480.7583,38.194923,87.00356,154.74765,45.608738,28.636372,207.71725,114.51371,239.19559,59.65092,33.775543,351.49985,67.84952,163.83444,198.6859,36.67202,87.048546,30.909,40.49533,14.976366,9.249351,"MDS"
"GSM483304",45.28786,52.84882,33.826653,1442.8546,1646.5538,12.295212,29.558704,11.466943,30.224138,33.454655,270.87848,104.04635,12.7703285,14.810852,67.420746,23.026094,53.832596,6.9602895,7.9655704,697.17145,31.342915,103.32545,23.185074,687.5198,86.40812,280.58163,38.66908,44.354656,104.25453,1787.3718,44.491455,12.538735,32.43352,47.132015,29.611988,78.727875,10.257901,32.804253,112.050995,13.69742,29.199406,64.96029,231.49,168.09093,45.46768,97.23311,10.07879,81.83051,7.142404,8.90924,"MDS"
"GSM483305",26.693842,40.288704,32.033504,609.5373,1832.3547,11.165306,50.098663,9.739001,18.583118,16.35175,170.51822,74.34261,16.179775,13.4014015,141.29805,29.995268,45.52259,8.278894,7.5351624,760.12866,59.62729,129.1666,21.986095,2731.2476,101.907776,238.91995,35.859447,36.50857,114.788315,2354.577,34.686134,15.92197,21.38233,30.877838,28.995531,20.31898,14.512719,37.75648,99.85101,16.641136,33.316944,53.319195,224.07281,174.79724,30.87116,100.36306,12.710434,52.000877,6.0247445,14.812187,"MDS"
"GSM483306",62.63931,90.70109,36.534866,539.6999,1303.0096,9.852983,66.43587,13.043473,22.073399,15.155468,222.97766,87.12703,16.686468,22.081347,119.77283,26.652512,51.22189,8.325549,8.403592,385.88052,70.58703,512.565,22.015423,1286.2212,503.5512,93.2689,49.867287,47.496784,99.212814,1989.3494,14.213917,37.333675,57.24468,40.892582,44.82044,27.844948,11.865304,58.123642,36.701096,21.839281,36.007675,45.146152,157.99207,189.00269,51.118645,25.018301,19.641752,108.39443,6.8678837,10.043266,"MDS"
"GSM483307",36.5744,60.89499,15.75784,1496.857,2567.478,13.33519,24.926558,10.3757105,23.59456,19.796612,139.51776,84.7008,12.608515,15.067005,118.07628,20.19929,55.215267,7.84709,6.8842344,284.69507,29.514017,94.690834,23.06179,73.50383,84.057846,82.68093,35.596912,36.65618,103.04111,2512.762,24.466614,26.976587,47.282528,40.16552,27.468367,19.118176,10.846955,21.869198,30.80007,15.135824,21.168875,58.937496,391.35403,175.32689,38.394253,158.39949,10.4809,81.96622,6.5385823,13.5902815,"MDS"
